"filename", "language", "C#", "comment", "blank", "total"
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Carousel/CarouselCell.cs", "C#", 35, 0, 6, 41
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Carousel/CarouselController.cs", "C#", 51, 1, 11, 63
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Carousel/CarouselData.cs", "C#", 21, 0, 3, 24
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Carousel/SimpleCarouselView.cs", "C#", 12, 0, 2, 14
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Characters/CharacterGroup.cs", "C#", 46, 0, 8, 54
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Common/GoogleSheetsManager.cs", "C#", 68, 2, 9, 79
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Common/PhotoLoader.cs", "C#", 80, 0, 10, 90
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Common/SceneTransition.cs", "C#", 83, 9, 19, 111
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Common/Splash.cs", "C#", 39, 16, 9, 64
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Common/Standby.cs", "C#", 14, 1, 1, 16
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Datas/CharacterData.cs", "C#", 12, 0, 1, 13
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Datas/PlayerData.cs", "C#", 25, 0, 4, 29
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Datas/RankData.cs", "C#", 28, 0, 2, 30
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Dev/DevPanel.cs", "C#", 86, 2, 25, 113
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Gameplay/FixObject.cs", "C#", 142, 6, 31, 179
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Gameplay/GameManager.cs", "C#", 366, 36, 81, 483
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Gameplay/HandGestureObjectManager.cs", "C#", 165, 3, 32, 200
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Gameplay/HandLandmarkerRunner.cs", "C#", 119, 5, 22, 146
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Gameplay/Tool.cs", "C#", 139, 21, 31, 191
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/GestureTracking/FingerStateCalculator.cs", "C#", 83, 0, 19, 102
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/GestureTracking/HandGestureDetector.cs", "C#", 45, 0, 7, 52
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/GestureTracking/HandLandmarkDetectionConfig.cs", "C#", 31, 0, 5, 36
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/GestureTracking/HandLandmarkDetectionConfigWindow.cs", "C#", 107, 0, 20, 127
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/HandLandmarkerCameraOnly.cs", "C#", 101, 11, 21, 133
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Photograph/HandGestureMappingGroup.cs", "C#", 16, 0, 2, 18
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Photograph/HandLandmarkerRunnerPhotograph.cs", "C#", 119, 5, 22, 146
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Photograph/Photograph.cs", "C#", 346, 38, 93, 477
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Shared/GestureMapping.cs", "C#", 11, 0, 1, 12
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Shared/HandGesture.cs", "C#", 10, 0, 0, 10
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Game/Shared/HandGestureMappingGroup.cs", "C#", 9, 0, 1, 10
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Manager/DataManager.cs", "C#", 224, 14, 44, 282
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Manager/RankManager.cs", "C#", 132, 17, 29, 178
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/QRCode/QRCodeGenerator.cs", "C#", 148, 6, 35, 189
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Rank/MenuRankDisplay.cs", "C#", 150, 5, 28, 183
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Rank/RankListAnimation.cs", "C#", 204, 19, 36, 259
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Rank/RankObject.cs", "C#", 115, 3, 20, 138
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Selector/CharacterSelector.cs", "C#", 363, 33, 73, 469
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Selector/CircularProgressOnHold.cs", "C#", 158, 9, 34, 201
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Selector/HandLandmarkerSelector.cs", "C#", 129, 11, 23, 163
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Selector/SingleButtonProgress.cs", "C#", 63, 0, 16, 79
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Stories/BaseStory.cs", "C#", 73, 4, 15, 92
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Stories/BeginningStory.cs", "C#", 90, 11, 27, 128
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Stories/PhotoGraphStory.cs", "C#", 52, 6, 12, 70
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Test/RankAssigner.cs", "C#", 26, 0, 4, 30
"/Users/attitudecasual/Developer/Unity/ClickClick/Assets/Scripts/Test/Tester.cs", "C#", 17, 2, 3, 22
"Total", "-", 4353, 296, 897, 5546
